SENT#,WORD,POS,NER,TAG
0,THÔNG BÁO,Np,B-PER,
0,VỀ,V,O,
0,7,M,O,
0,CA,Np,B-PER,
0,BỆNH,Np,I-PER,
0,MỚI,R,O,
0,(,CH,O,
0,BN343,Np,B-LOC,B-BN
0,-,CH,B-LOC,
0,BN349,Np,I-LOC,B-BN
0,),CH,O,
0,:,CH,O,
0,Việt Nam,Np,B-LOC,
0,vừa,R,O,
0,ghi nhận,V,O,
0,thêm,V,O,
0,7,M,O,
0,ca,N,O,
0,mắc,V,O,
0,mới,R,O,
0,COVID,Np,B-PER,
0,-,CH,O,
0,19,M,O,
0,",",CH,O,
0,đều,R,O,
0,từ,E,O,B-R
0,châu Âu,N,O,B-LOC
0,về,E,O,B-R
0,Nội Bài,Np,B-LOC,B-LOC
0,(,CH,O,
0,Hà Nội,Np,B-LOC,
0,),CH,O,
0,trên,E,O,
0,chuyến,N,B-LOC,
0,bay,V,I-LOC,
0,VN2,Np,I-LOC,B-FLIGHT
0,",",CH,O,
0,sau,N,O,
0,khi,N,O,
0,nhập cảnh,V,O,
0,được,R,O,
0,cách ly,V,O,B-R
0,ngay,T,O,
0,tại,E,O,
0,Trường,N,B-LOC,B-LOC
0,Cao đẳng,N,I-LOC,I-LOC
0,nghề,N,I-LOC,I-LOC
0,Công nghệ cao,V,I-LOC,I-LOC
0,",",CH,I-LOC,I-LOC
0,Tây Mỗ,Np,I-LOC,I-LOC
0,",",CH,O,I-LOC
0,Nam,Np,B-PER,I-LOC
0,Từ Liêm,Np,I-PER,I-LOC
0,",",CH,O,I-LOC
0,Hà Nội,Np,B-LOC,I-LOC
0,.,CH,O,
1,Hiện,N,O,
1,7,M,O,
1,BN,Np,B-LOC,B-BNS
1,được,V,O,
1,cách ly,V,O,B-R
1,",",CH,O,
1,điều trị,V,O,B-R
1,tại,E,O,
1,Bệnh viện,N,B-LOC,B-HOS
1,Bệnh,N,I-LOC,I-HOS
1,Nhiệt đới,N,I-LOC,I-HOS
1,Trung ương,N,I-LOC,I-HOS
1,cơ sở,N,I-LOC,I-HOS
1,2,M,I-LOC,I-HOS
1,",",CH,O,
1,không,R,O,
1,có,V,O,
1,nguy cơ,N,O,
1,lây,V,O,
1,ra,V,O,
1,cộng đồng,N,O,
1,.,CH,O,
2,Trong,E,O,
2,đó,P,O,
2,",",CH,O,
2,BN343,Np,B-PER,B-BN
2,:,CH,O,
2,nữ,N,O,B-SEX
2,",",CH,O,
2,27,M,O,B-AGE
2,tuổi,N,O,
2,",",CH,O,
2,Cẩm Thủy,Np,B-PER,B-ADD
2,",",CH,O,I-ADD
2,Cẩm Phả,Np,I-LOC,I-ADD
2,",",CH,O,I-ADD
2,Quảng Ninh,Np,B-LOC,I-ADD
2,.,CH,O,
3,BN344,Np,B-PER,B-BN
3,:,CH,O,
3,nam,N,O,B-SEX
3,",",CH,O,
3,52,M,O,B-AGE
3,tuổi,N,O,
3,",",CH,O,
3,Nghi Thủy,Np,B-PER,B-ADD
3,",",CH,O,I-ADD
3,Cửa Lò,Np,I-LOC,I-ADD
3,",",CH,O,I-ADD
3,Nghệ An,Np,B-LOC,I-ADD
3,.,CH,O,
4,các,L,O,
4,BN BN345,Np,B-PER,B-BN
4,(,CH,O,
4,nữ,N,O,B-SEX
4,",",CH,O,
4,39,M,O,B-AGE
4,tuổi,N,O,
4,),CH,O,
4,",",CH,O,
4,BN346,Np,B-PER,B-BN
4,(,CH,O,
4,nam,N,O,B-SEX
4,",",CH,O,
4,6,M,O,B-AGE
4,tuổi,N,O,
4,),CH,O,
4,",",CH,O,
4,BN347,Np,B-PER,B-BN
4,(,CH,O,
4,nam,N,O,B-SEX
4,",",CH,O,
4,6,M,O,B-AGE
4,tuổi,N,O,
4,),CH,O,
4,",",CH,O,
4,BN348,Np,B-PER,B-BN
4,(,CH,O,
4,nam,N,O,B-SEX
4,",",CH,O,
4,39,M,O,B-AGE
4,tuổi,N,O,
4,),CH,O,
4,",",CH,O,
4,BN349,Np,B-PER,B-BN
4,(,CH,O,
4,nam,N,O,B-SEX
4,",",CH,O,
4,12,M,O,B-AGE
4,tuổi,N,O,
4,),CH,O,
4,cùng,C,O,
4,có,V,O,
4,địa chỉ,N,O,
4,tại,E,O,
4,Cổ Nhuế,Np,B-LOC,B-ADD
4,1,M,O,I-ADD
4,",",CH,O,I-ADD
4,Bắc,Np,B-PER,I-ADD
4,Từ Liêm,Np,I-PER,I-ADD
4,",",CH,O,I-ADD
4,Hà Nội,Np,B-LOC,I-ADD
4,.,CH,O,
